training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.38,0.5,1.0,0.21,0.6,0.75,$TransactionFee_bin4 
0.38,0.5,1.0,0.21,0.6,0.75,and(!$TransactionFee_bin0 $TransactionFee_bin4) 
0.38,0.5,1.0,0.21,0.6,0.75,and(!$TransactionFee_bin1 $TransactionFee_bin4) 
0.48,0.58,1.0,0.21,0.53,0.5,or($TransactionPerDay_bin7 $TransactionVolume_USD_bin2) 
0.52,0.62,1.0,0.5,0.67,0.7,or($TransactionFee_bin0 $TransactionFee_bin4) 
0.38,0.5,1.0,0.5,0.6,0.58,or($TransactionFee_bin0 $TransactionVolume_USD_bin2) 
0.62,0.65,0.93,0.64,0.47,0.45,and(!$TransactionVolume_USD_bin0 !$TransactionVolume_USD_bin4) 
0.43,0.5,0.9,0.43,0.63,0.67,or($TransactionFee_bin4 $TransactionVolume_USD_bin3) 
0.38,0.46,0.89,0.43,0.47,0.43,or($TransactionVolume_USD_bin1 $TransactionVolume_USD_bin3) 
0.81,0.73,0.85,1.0,0.47,0.47,!$TransactionPerDay_bin8 
