training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
1.0,0.77,0.38,0.33,0.67,1.0,or(and(!$TransactionPerDay_bin7 $TransactionVolume_USD_bin0) $TransactionFee_bin0) 
1.0,0.82,0.43,0.13,0.57,1.0,or(and(!$TransactionPerDay_bin7 $TransactionPerDay_bin8 $TransactionVolume_USD_bin0) and($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin1) $TransactionFee_bin0) 
1.0,0.82,0.43,0.2,0.6,1.0,or(and(!$TransactionPerDay_bin7 $TransactionFee_bin1 $TransactionVolume_USD_bin0) and($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin1) $TransactionFee_bin0) 
1.0,0.82,0.43,0.2,0.6,1.0,or(and(!$TransactionPerDay_bin7 !$TransactionFee_bin2 $TransactionVolume_USD_bin0) and($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin1) $TransactionFee_bin0) 
1.0,0.82,0.43,0.2,0.6,1.0,and(or(and(!$TransactionPerDay_bin7 $TransactionVolume_USD_bin0) and($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin1) $TransactionFee_bin0) !$TransactionFee_bin2) 
1.0,0.77,0.38,0.6,0.53,0.53,or(and(!$TransactionPerDay_bin7 $TransactionVolume_USD_bin0) $TransactionFee_bin0 $TransactionFee_bin3) 
1.0,0.77,0.38,0.47,0.6,0.64,or(and(!$TransactionPerDay_bin7 $TransactionVolume_USD_bin0) $TransactionFee_bin0 $TransactionVolume_USD_bin4) 
1.0,0.73,0.33,0.33,0.67,1.0,or($TransactionFee_bin0 $TransactionVolume_USD_bin0) 
1.0,0.82,0.43,0.13,0.57,1.0,or(and(!$TransactionPerDay_bin7 $TransactionPerDay_bin8 $TransactionFee_bin1 $TransactionVolume_USD_bin0) and($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin1) $TransactionFee_bin0) 
1.0,0.82,0.43,0.2,0.6,1.0,or(and(!$TransactionPerDay_bin7 $TransactionFee_bin1 $TransactionVolume_USD_bin0 !$TransactionVolume_USD_bin5) and($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin1) $TransactionFee_bin0) 
