training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.41,0.57,1.0,0.23,0.3,0.86,or($TransactionFee_bin5 $TransactionVolume_USD_bin1) 
0.41,0.57,1.0,0.23,0.27,0.75,or($TransactionVolume_USD_bin1 $TransactionVolume_USD_bin5) 
0.53,0.61,0.9,0.15,0.23,0.8,or($TransactionFee_bin0 $TransactionVolume_USD_bin0) 
0.35,0.52,1.0,0.08,0.2,1.0,$TransactionVolume_USD_bin1 
0.35,0.48,0.86,0.04,0.13,0.5,$TransactionFee_bin0 
0.35,0.48,0.86,0.04,0.17,1.0,and($TransactionFee_bin0 !$TransactionVolume_USD_bin6) 
0.88,0.78,0.83,0.88,0.77,0.85,!$TransactionVolume_USD_bin4 
0.88,0.78,0.83,0.73,0.67,0.86,and(!$TransactionVolume_USD_bin4 !$TransactionVolume_USD_bin6) 
0.82,0.74,0.82,0.77,0.67,0.83,and(!$TransactionPerDay_bin7 !$TransactionVolume_USD_bin4) 
0.76,0.7,0.81,0.77,0.7,0.87,and(!$TransactionFee_bin5 !$TransactionVolume_USD_bin4) 
