training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.42,0.59,1.0,0.0,0.27,-1.0,and(!$GoldPrice_bin6 $TransactionVolume_USD_bin0) 
0.53,0.67,1.0,0.41,0.5,0.82,and(or($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3 $TransactionVolume_USD_bin5) !$BlockSize_bin3) 
0.58,0.7,1.0,0.32,0.4,0.7,and(or($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3 $TransactionVolume_USD_bin5) !$GoldPrice_bin6) 
0.47,0.63,1.0,0.41,0.47,0.75,and(or($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3 $TransactionVolume_USD_bin5) !$HashRate_bin0) 
0.47,0.63,1.0,0.36,0.43,0.73,and(or($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3 $TransactionVolume_USD_bin5) !$MempoolCount_bin3) 
0.47,0.63,1.0,0.36,0.43,0.73,and(or($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3 $TransactionVolume_USD_bin5) !$MempoolSize_bin3) 
0.53,0.67,1.0,0.36,0.43,0.73,and(or($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3 $TransactionVolume_USD_bin5) !$TransactionPerDay_bin4) 
0.47,0.63,1.0,0.14,0.37,1.0,and(or($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3 $TransactionVolume_USD_bin5) $TransactionFee_bin0) 
0.47,0.63,1.0,0.14,0.37,1.0,and(or($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3 $TransactionVolume_USD_bin5) !$TransactionFee_bin1) 
0.53,0.67,1.0,0.41,0.47,0.75,or(and(!$BlockSize_bin3 $TransactionVolume_USD_bin0) $TransactionVolume_USD_bin3 $TransactionVolume_USD_bin5) 
