Date,Price,MarketCap,BlockSize,GoldPrice,GTrends,HashRate,MempoolCount,MempoolSize,MinningDifficulty,TransactionPerDay,TransactionFee,TransactionVolume_USD
2017-06-09,2823.81,46260465854,969813,1321.0,39,5567322.43419,57214322.5,57214322.5,678760000000,307520,490.9904414,1348950016
2017-06-10,2947.71,48295501718,973539,1318.6,36,5094943.56099,51234227.5,51234227.5,678760000000,281141,455.56014992,2018889984
2017-06-11,2958.11,48471330146,966442,1318.6,40,4757530.080130001,45417917.5,45417917.5,678760000000,252863,390.90403310000005,1752400000
2017-06-12,2659.63,43585351533,945499,1318.6,57,4926236.82056,42058155.0,42058155.0,678760000000,225164,356.12024978,2569530112
2017-06-13,2717.02,44530631894,967604,1318.3,45,4959978.16864,55931922.5,55931922.5,678760000000,270293,409.8643713,1781200000
2017-06-14,2506.37,41082567339,977141,1325.3,44,4757530.080130001,57463774.5,57463774.5,678760000000,291997,479.43977642,1696560000
2017-06-15,2464.58,40402259202,969546,1303.9,56,4723788.73204,58160518.0,58160518.0,678760000000,286667,454.74199601,2026259968
2017-06-16,2518.56,41291821423,994361,1305.8,44,5162426.25716,49181039.0,49181039.0,678760000000,292028,435.40345777,1195190016
2017-06-17,2655.88,43548031452,983037,1296.1,33,4993719.51673,34986488.5,34986488.5,678760000000,271170,375.35139576,1534509952
2017-06-18,2548.29,41788418974,985743,1296.1,31,5129905.6443,28795969.0,28795969.0,711697000000,233700,311.39831919,1178659968
2017-06-19,2589.6,42470734800,936092,1296.1,32,5129905.6443,15715211.5,15715211.5,711697000000,209590,277.99559460000006,1446840064
2017-06-20,2721.79,44643512689,980361,1292.5,39,5342177.60199,14901593.5,14901593.5,711697000000,270629,387.16284645,1854189952
2017-06-21,2689.1,44111929173,972729,1294.6,40,4882255.026980001,25420853.0,25420853.0,711697000000,270479,388.08537505,1626579968
2017-06-22,2705.41,44384244937,983073,1298.1,38,4953012.34622,29575199.0,29575199.0,711697000000,279802,462.70370719,1097939968
2017-06-23,2744.91,45037797053,992570,1305.4,33,4917633.6866,18949750.5,18949750.5,711697000000,267646,447.10509654,961318976
2017-06-24,2608.72,42807952581,948869,1295.4,29,5660585.5385300005,16142143.25,16142143.25,711697000000,263558,338.95972894,982750016
2017-06-25,2589.41,42495001716,943995,1295.4,29,5165284.30391,14693960.5,14693960.5,711697000000,220585,307.20884336,1161100032
2017-06-26,2478.45,40677994354,934705,1295.4,39,4316196.473130001,17712052.5,17712052.5,711697000000,185556,258.68838592,1663280000
2017-06-27,2552.45,41897190525,987189,1296.1,42,5023769.66545,20497721.5,20497721.5,711697000000,261236,375.05657594,1489789952
2017-06-28,2574.79,42268942193,990012,1298.5,40,4634604.40967,12690945.0,12690945.0,711697000000,261244,367.89377898,1183869952
2017-06-29,2539.32,41690395783,969722,1295.4,32,5554449.5596900005,17512500.5,17512500.5,711697000000,277315,385.86002411,949979008
2017-06-30,2480.84,40735082695,970559,1291.7,27,4245439.1539,17589576.0,17589576.0,711697000000,232242,341.40053758,860273024
2017-07-01,2434.55,39980058373,956199,1268.6,24,5448313.58084,6148456.5,6148456.5,711697000000,266611,357.17190559,779913984
2017-07-02,2506.47,41167015221,876041,1268.6,25,6622798.79067,6217881.5,6217881.5,708659000000,220431,197.85958294,803747008
2017-07-03,2564.06,42118211083,784257,1268.6,28,5988701.03412,4931068.25,4931068.25,708659000000,197001,283.21012118,964112000
2017-07-04,2601.64,42740618673,801748,1227.55,25,5988701.03412,14990088.0,14990088.0,708659000000,250732,283.21012118,985516032
2017-07-05,2601.99,42751085999,911216,1271.6,26,5389830.93071,13413019.0,13413019.0,708659000000,256896,293.93425872,941566016
2017-07-06,2608.56,42863758795,912536,1274.4,28,5248920.31814,22323082.5,22323082.5,708659000000,235183,225.82080685,761956992
2017-07-07,2518.66,41391217675,956272,1260.1,26,5002326.74615,13227322.5,13227322.5,708659000000,229362,241.52060511,917411968
2017-07-08,2571.34,42262222823,937071,1263.7,25,5213692.665,8466098.0,8466098.0,708659000000,243701,240.65571245,733329984
2017-07-09,2518.44,41397076604,846948,1263.7,23,5812562.76841,2211721.5,2211721.5,708659000000,217942,192.41183082,527856000
