training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program,experiment_dir
0.73,0.83,0.89,0.67,0.4,0.2,and(or(and($MarketCap_bin1 !$GoldPrice_bin0) and(!$MempoolCount_bin2 $TransactionFee_bin1 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin3) $TransactionPerDay_bin5) !$TransactionPerDay_bin0) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins7
0.55,0.74,0.86,0.33,0.43,0.13,or(and(!$MempoolCount_bin2 !$TransactionPerDay_bin0 $TransactionFee_bin1 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin3) $TransactionPerDay_bin5) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins7
0.55,0.74,0.86,0.33,0.43,0.13,and(or(and(!$MempoolCount_bin2 $TransactionFee_bin1 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin3) $TransactionPerDay_bin5) !$TransactionPerDay_bin0) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins7
0.55,0.74,0.86,0.33,0.43,0.13,and(or(and(!$HashRate_bin2 !$MempoolCount_bin2 $TransactionFee_bin1 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin3) $TransactionPerDay_bin5) !$TransactionPerDay_bin0) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins7
0.55,0.74,0.86,0.33,0.43,0.13,and(or(and(!$MempoolCount_bin2 !$TransactionPerDay_bin2 $TransactionFee_bin1 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin3) $TransactionPerDay_bin5) !$TransactionPerDay_bin0) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins7
0.55,0.74,0.86,0.33,0.43,0.13,and(or(and(!$MempoolCount_bin2 !$TransactionFee_bin0 $TransactionFee_bin1 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin3) $TransactionPerDay_bin5) !$TransactionPerDay_bin0) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins7
0.55,0.74,0.86,0.33,0.37,0.12,or(and(!$MempoolCount_bin2 !$TransactionPerDay_bin0 $TransactionFee_bin1 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin3) $MempoolCount_bin3 $TransactionPerDay_bin5) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins7
0.73,0.83,0.89,0.33,0.2,0.09,and(or(and(!$MempoolCount_bin2 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin3) and($TransactionPerDay_bin2 $TransactionVolume_USD_bin1) $TransactionPerDay_bin5 $TransactionPerDay_bin9) !$GoldPrice_bin1) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins7
0.55,0.78,1.0,0.17,0.4,0.07,and(or(and(!$BlockSize_bin2 !$MempoolCount_bin2 $TransactionFee_bin1 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin3) $TransactionPerDay_bin5) !$TransactionPerDay_bin0) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins7
0.55,0.78,1.0,0.17,0.4,0.07,and(or(and(!$MempoolCount_bin2 $TransactionFee_bin1 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin3) $TransactionPerDay_bin5) !$BlockSize_bin2 !$TransactionPerDay_bin0) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins7
0.64,0.83,1.0,0.67,0.73,0.4,and(or(and($TransactionPerDay_bin1 $TransactionPerDay_bin2) and(!$TransactionPerDay_bin2 $TransactionVolume_USD_bin0) $MempoolCount_bin8 $TransactionPerDay_bin5) !$GTrends_bin1) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.64,0.83,1.0,0.67,0.73,0.4,and(or(and(!$HashRate_bin1 $MempoolCount_bin8) and($TransactionPerDay_bin1 $TransactionPerDay_bin2) and(!$TransactionPerDay_bin2 $TransactionVolume_USD_bin0) $TransactionPerDay_bin5) !$GTrends_bin1) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.73,0.87,1.0,0.5,0.7,0.33,and(or(and($TransactionPerDay_bin1 $TransactionPerDay_bin2) and(!$TransactionPerDay_bin2 $TransactionVolume_USD_bin0) $MempoolCount_bin1 $TransactionPerDay_bin5) !$GTrends_bin1) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.73,0.87,1.0,0.5,0.7,0.33,and(or(and($TransactionPerDay_bin1 $TransactionPerDay_bin2) and(!$TransactionPerDay_bin2 $TransactionVolume_USD_bin0) $MempoolSize_bin1 $TransactionPerDay_bin5) !$GTrends_bin1) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.64,0.83,1.0,0.5,0.7,0.33,and(or(and(!$HashRate_bin2 $MempoolSize_bin1) and($TransactionPerDay_bin1 $TransactionPerDay_bin2) and(!$TransactionPerDay_bin2 $TransactionVolume_USD_bin0) $TransactionPerDay_bin5) !$GTrends_bin1) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.73,0.87,1.0,0.5,0.7,0.33,and(or(and(!$MempoolCount_bin5 $MempoolSize_bin1) and($TransactionPerDay_bin1 $TransactionPerDay_bin2) and(!$TransactionPerDay_bin2 $TransactionVolume_USD_bin0) $TransactionPerDay_bin5) !$GTrends_bin1) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.55,0.78,1.0,0.5,0.7,0.33,and(or(and(!$TransactionPerDay_bin2 $TransactionVolume_USD_bin0) $TransactionPerDay_bin5) !$GTrends_bin1) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.55,0.78,1.0,0.5,0.7,0.33,and(or(and(!$TransactionPerDay_bin2 $TransactionVolume_USD_bin0) $TransactionPerDay_bin1 $TransactionPerDay_bin5) !$GTrends_bin1) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.55,0.78,1.0,0.5,0.7,0.33,or(and(!$GTrends_bin1 !$TransactionPerDay_bin2 $TransactionVolume_USD_bin0) and($TransactionPerDay_bin1 $TransactionPerDay_bin2) $TransactionPerDay_bin5) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.55,0.78,1.0,0.5,0.5,0.2,or(and(!$HashRate_bin1 !$TransactionPerDay_bin2 $TransactionVolume_USD_bin0) and($TransactionPerDay_bin1 $TransactionPerDay_bin2) $TransactionPerDay_bin5) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.73,0.87,1.0,0.83,0.8,0.5,and(or(and(!$GoldPrice_bin1 $TransactionPerDay_bin5) $MempoolCount_bin1 $TransactionPerDay_bin2 $TransactionVolume_USD_bin0) or(!$MempoolSize_bin5 !$TransactionFee_bin1) !$GTrends_bin1) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.73,0.87,1.0,0.83,0.57,0.29,and(or(and(!$GoldPrice_bin1 $TransactionPerDay_bin5) $MempoolCount_bin1 $TransactionPerDay_bin2 $TransactionVolume_USD_bin0) or(and(!$GTrends_bin1 !$MempoolSize_bin5) !$TransactionFee_bin1)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.64,0.83,1.0,0.83,0.53,0.28,and(or(and(!$GoldPrice_bin1 $TransactionPerDay_bin5) $MempoolCount_bin1 $TransactionPerDay_bin2 $TransactionVolume_USD_bin0) or(!$MempoolSize_bin5 !$TransactionFee_bin1) !$HashRate_bin1) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.73,0.87,1.0,0.83,0.53,0.28,and(or(and(!$GoldPrice_bin1 $TransactionPerDay_bin5) $MempoolCount_bin1 $TransactionPerDay_bin2 $TransactionVolume_USD_bin0) or(!$MempoolSize_bin5 !$TransactionFee_bin1) !$MempoolCount_bin4) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.73,0.87,1.0,0.83,0.53,0.28,and(or(and(!$GoldPrice_bin1 $TransactionPerDay_bin5) $MempoolCount_bin1 $TransactionPerDay_bin2 $TransactionVolume_USD_bin0) or(!$MempoolSize_bin5 !$TransactionFee_bin1) !$MempoolSize_bin4) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.64,0.83,1.0,0.83,0.53,0.28,and(or(and(!$GoldPrice_bin1 $TransactionPerDay_bin5) $MempoolCount_bin1 $TransactionPerDay_bin2 $TransactionVolume_USD_bin0) or(!$MempoolSize_bin5 !$TransactionFee_bin1) !$TransactionPerDay_bin8) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.64,0.83,1.0,0.83,0.53,0.28,and(or(and(!$BlockSize_bin7 !$MempoolSize_bin5) !$TransactionFee_bin1) or(and(!$GoldPrice_bin1 $TransactionPerDay_bin5) $MempoolCount_bin1 $TransactionPerDay_bin2 $TransactionVolume_USD_bin0)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.73,0.87,1.0,0.83,0.53,0.28,and(or(and(!$GoldPrice_bin1 $TransactionPerDay_bin5) $MempoolCount_bin1 $TransactionPerDay_bin2 $TransactionVolume_USD_bin0) or(and(!$HashRate_bin1 !$MempoolSize_bin5) !$TransactionFee_bin1)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.73,0.87,1.0,0.83,0.53,0.28,and(or(and(!$GoldPrice_bin1 $TransactionPerDay_bin5) $MempoolCount_bin1 $TransactionPerDay_bin2 $TransactionVolume_USD_bin0) or(and(!$MempoolCount_bin4 !$MempoolSize_bin5) !$TransactionFee_bin1)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.73,0.87,1.0,0.67,0.5,0.24,and(or(and(!$GoldPrice_bin1 !$MempoolSize_bin5) !$TransactionFee_bin1) or(and(!$GoldPrice_bin1 $TransactionPerDay_bin5) $MempoolCount_bin1 $TransactionPerDay_bin2 $TransactionVolume_USD_bin0)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.82,0.87,0.9,0.83,0.6,0.31,and(or(and(!$MempoolSize_bin7 $TransactionFee_bin6) and(!$TransactionPerDay_bin8 $TransactionVolume_USD_bin0) $MempoolCount_bin1) !$TransactionFee_bin5) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins2GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins7TransactionVolume_USDBins2
0.64,0.83,1.0,0.67,0.57,0.27,and(or(and(or(!$MempoolSize_bin7 $TransactionPerDay_bin4) !$BlockSize_bin6 $TransactionFee_bin6) and(!$MinningDifficulty_bin2 !$TransactionPerDay_bin8 $TransactionVolume_USD_bin0)) or($TransactionFee_bin3 !$TransactionFee_bin5)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins2GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins7TransactionVolume_USDBins2
0.64,0.83,1.0,0.67,0.57,0.27,and(or(and(or(!$MempoolSize_bin7 $TransactionPerDay_bin4) !$MempoolCount_bin5 $TransactionFee_bin6) and(!$MinningDifficulty_bin2 !$TransactionPerDay_bin8 $TransactionVolume_USD_bin0)) or($TransactionFee_bin3 !$TransactionFee_bin5)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins2GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins7TransactionVolume_USDBins2
0.64,0.83,1.0,0.67,0.57,0.27,and(or(and(or(!$MempoolSize_bin7 $TransactionPerDay_bin4) !$MempoolSize_bin5 $TransactionFee_bin6) and(!$MinningDifficulty_bin2 !$TransactionPerDay_bin8 $TransactionVolume_USD_bin0)) or($TransactionFee_bin3 !$TransactionFee_bin5)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins2GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins7TransactionVolume_USDBins2
0.64,0.83,1.0,0.67,0.57,0.27,and(or(and(or(!$MempoolSize_bin7 $TransactionPerDay_bin4) !$BlockSize_bin6 $MinningDifficulty_bin2 $TransactionFee_bin6) and(!$MinningDifficulty_bin2 !$TransactionPerDay_bin8 $TransactionVolume_USD_bin0)) or($TransactionFee_bin3 !$TransactionFee_bin5)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins2GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins7TransactionVolume_USDBins2
0.64,0.83,1.0,0.67,0.57,0.27,and(or(and(or(!$MempoolSize_bin7 $TransactionPerDay_bin4) !$MempoolCount_bin5 !$MinningDifficulty_bin0 $TransactionFee_bin6) and(!$MinningDifficulty_bin2 !$TransactionPerDay_bin8 $TransactionVolume_USD_bin0)) or($TransactionFee_bin3 !$TransactionFee_bin5)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins2GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins7TransactionVolume_USDBins2
0.64,0.83,1.0,0.67,0.57,0.27,and(or(and(or(!$MempoolSize_bin7 $TransactionPerDay_bin4) !$MempoolSize_bin5 !$TransactionFee_bin3 $TransactionFee_bin6) and(!$MinningDifficulty_bin2 !$TransactionPerDay_bin8 $TransactionVolume_USD_bin0)) or($TransactionFee_bin3 !$TransactionFee_bin5)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins2GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins7TransactionVolume_USDBins2
0.64,0.83,1.0,0.67,0.57,0.27,and(or(and(or(!$MempoolSize_bin5 $TransactionFee_bin5) or(!$MempoolSize_bin7 $TransactionPerDay_bin4) $TransactionFee_bin6) and(!$MinningDifficulty_bin2 !$TransactionPerDay_bin8 $TransactionVolume_USD_bin0)) or($TransactionFee_bin3 !$TransactionFee_bin5)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins2GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins7TransactionVolume_USDBins2
0.64,0.83,1.0,0.67,0.57,0.27,and(or(and(or(!$MempoolSize_bin7 $TransactionPerDay_bin4) $TransactionFee_bin6) and(!$MinningDifficulty_bin2 !$TransactionPerDay_bin8 $TransactionVolume_USD_bin0)) or(!$MempoolCount_bin5 $MinningDifficulty_bin0) or($TransactionFee_bin3 !$TransactionFee_bin5)) ,/home/misgana/Desktop/BTCPrediction/MOSES/telescopic-window/month_0_to_20/LA_6/MarketCapBins3BlockSizeBins10GoldPriceBins2GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins7TransactionVolume_USDBins2
