training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
1.0,0.92,0.71,0.0,0.6,-1.0,or(and($BlockSize_bin7 $TransactionPerDay_bin5) $HashRate_bin9) 
1.0,0.92,0.71,0.08,0.63,1.0,or(and($TransactionPerDay_bin5 $TransactionVolume_USD_bin1) $HashRate_bin9) 
1.0,0.92,0.71,0.08,0.63,1.0,or(and($BlockSize_bin7 $TransactionPerDay_bin5) and($TransactionPerDay_bin5 $TransactionVolume_USD_bin1) $HashRate_bin9) 
1.0,0.88,0.63,0.08,0.57,0.33,or($BlockSize_bin7 $HashRate_bin9) 
1.0,0.88,0.63,0.17,0.63,0.67,or($HashRate_bin9 $TransactionPerDay_bin5) 
1.0,0.88,0.63,0.17,0.6,0.5,or(and($TransactionPerDay_bin5 $TransactionVolume_USD_bin1) $BlockSize_bin7 $HashRate_bin9) 
1.0,0.88,0.63,0.17,0.67,1.0,or(and($BlockSize_bin7 $TransactionPerDay_bin5) and($TransactionFee_bin1 $TransactionVolume_USD_bin0) $HashRate_bin9) 
1.0,0.88,0.63,0.25,0.7,1.0,or(and($TransactionPerDay_bin5 $TransactionVolume_USD_bin1) and($TransactionFee_bin1 $TransactionVolume_USD_bin0) $HashRate_bin9) 
1.0,0.88,0.63,0.25,0.7,1.0,or(and(!$MarketCap_bin1 $TransactionFee_bin1 $TransactionVolume_USD_bin0) and($TransactionPerDay_bin5 $TransactionVolume_USD_bin1) $HashRate_bin9) 
1.0,0.88,0.63,0.08,0.63,1.0,or(and($MarketCap_bin2 $TransactionFee_bin1 $TransactionVolume_USD_bin0) and($TransactionPerDay_bin5 $TransactionVolume_USD_bin1) $HashRate_bin9) 
