training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.46,0.66,0.66,0.25,0.43,0.71,and(or(and(or($TransactionVolume_USD_bin2 $TransactionVolume_USD_bin5) !$TransactionFee_bin3) $TransactionFee_bin1) !$MinningDifficulty_bin3 !$TransactionPerDay_bin8) 
0.47,0.63,0.59,0.6,0.47,0.6,or($GTrends_bin6 $TransactionVolume_USD_bin0 $TransactionVolume_USD_bin5) 
0.43,0.65,0.63,0.3,0.37,0.55,and(or(and($MarketCap_bin0 $TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0 $TransactionVolume_USD_bin5) !$TransactionPerDay_bin8) 
0.46,0.66,0.66,0.3,0.4,0.6,and(or(and(or($TransactionVolume_USD_bin2 $TransactionVolume_USD_bin5) !$TransactionFee_bin3) $TransactionFee_bin1) or(!$TransactionPerDay_bin8 $TransactionFee_bin1) !$MinningDifficulty_bin3) 
0.46,0.66,0.66,0.25,0.43,0.71,and(or(and(or(and(!$MinningDifficulty_bin3 $TransactionVolume_USD_bin2) $TransactionVolume_USD_bin5) !$TransactionFee_bin3) and(!$MinningDifficulty_bin3 $TransactionFee_bin1)) !$TransactionPerDay_bin8) 
0.45,0.64,0.62,0.35,0.4,0.58,and(or(and($GoldPrice_bin0 $TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0 $TransactionVolume_USD_bin5) !$TransactionPerDay_bin8) 
0.45,0.64,0.62,0.35,0.4,0.58,and(or(and(!$GoldPrice_bin1 $TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0 $TransactionVolume_USD_bin5) !$TransactionPerDay_bin8) 
0.45,0.63,0.6,0.45,0.43,0.6,or(and($MarketCap_bin0 $TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0 $TransactionVolume_USD_bin5) 
0.46,0.65,0.64,0.3,0.4,0.6,or(and(or($TransactionVolume_USD_bin2 $TransactionVolume_USD_bin5) !$MinningDifficulty_bin3 !$TransactionPerDay_bin8 !$TransactionFee_bin3) $TransactionFee_bin1) 
0.46,0.65,0.64,0.25,0.43,0.71,and(or(and(or($TransactionVolume_USD_bin2 $TransactionVolume_USD_bin5) !$MinningDifficulty_bin3 !$TransactionFee_bin3) $TransactionFee_bin1) !$TransactionPerDay_bin8) 
